unit_id,structure,g_osi_dg_est,g_dsi_dg_est,latency_dg_est
951082753,SCig,0.9360389126851486,,0.48722170694964007
951082755,SCig,0.970724180749862,,0.08156384890935442
951083991,SCig,1.0,,0.7985572290472192
951082761,SCig,0.950949982797656,,0.45360029478797514
951082759,SCig,0.9924752147538033,,0.10805789115966036
951082764,SCig,0.9781455521678982,,0.01144134697779009
951082786,SCig,0.922959859042345,,0.6076676053412484
951082795,SCig,0.9849762890644636,,0.06319135187368374
951082791,SCig,0.91688019068887,,0.16505738791715885
951082798,SCig,0.9743116987643988,,0.0458199163235804
951082817,SCig,0.29289321881345254,,1.681804565596849
951082815,SCig,0.9765202063440442,,0.15326000887853297
951082828,SCig,0.977665368489055,,0.01517109992028054
951082838,SCig,0.9109756975774035,,0.4902702915592272
951082836,SCig,0.9277641156482299,,0.5090278726675024
951082833,SCig,0.9823311445758836,,0.014108544692135183
951084192,SCig,0.9478009033001862,,0.39197277559287613
951084005,SCig,0.9581859523067658,,0.6601452759932727
951082847,SCig,0.968096056082143,,0.1276655605824999
951084001,SCig,0.9163625076346387,,0.5614294198867356
951082841,SCig,0.9787705887565203,,0.4420754479892821
951084009,MB,0.9545454545454545,,0.9490796980944651
951082860,MB,0.9762105354678913,,0.07255635616593281
951082853,SCig,0.9669503916596718,,0.07899007482774323
951082863,NOT,0.8959619752778871,,0.060466115612598514
951082877,MB,0.9389906041879779,,0.03574040247258381
951082871,MB,0.9602717234154576,,0.09377809610168697
951082869,MB,0.9383664022533769,,0.06591672462127462
951082867,MB,0.9748288184161302,,0.027962252495171924
951082865,MB,0.9709038704327678,,0.02209010114756893
951082875,NOT,0.8500817388978363,,0.22864601245009908
951084013,NOT,0.9175374489102954,,0.14760116920706423
951082888,NOT,0.8441284045959448,,0.8675939465192641
951082917,SUB,0.9757192789011123,,0.4473101347539341
951082922,SUB,0.975674787229474,,0.950493888852634
951082928,SUB,0.9805794685507366,,0.1581214283924055
951082952,ProS,0.9982158633561549,,0.08459726837782
951082944,ProS,0.9962888820638008,,0.06667991945141694
951082975,ProS,0.9858999618027721,,0.09838121989423598
951082972,ProS,0.9834220717666283,,0.06166428417850511
951082970,ProS,0.9935618563617926,,0.024957131189694337
951082984,ProS,0.9883393038013141,,0.0839963090911624
951082981,ProS,0.9800857049729409,,0.03739670679806295
